Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1u,C_0402_1005Metric,116.65,-51.8,0.0,top
C10,1u,C_0402_1005Metric,137.35,-51.8,0.0,top
C11,1u,C_0402_1005Metric,143.9,-85.8,-90.0,top
C12,1u,C_0402_1005Metric,141.2,-87.46,0.0,top
C13,1u,C_0402_1005Metric,132.8,-94.7,-90.0,top
C15,1u,C_0402_1005Metric,129.65,-81.7,0.0,top
C16,22u,C_0805_2012Metric,137.85,-86.4,0.0,top
C17,1u,C_0402_1005Metric,127.5,-92.25,-90.0,top
C18,1u,C_0402_1005Metric,131.45,-92.35,-45.0,top
C19,1u,C_0402_1005Metric,129.65,-82.6,0.0,top
C2,1u,C_0402_1005Metric,118.95,-51.8,0.0,top
C20,1u,C_0402_1005Metric,134.65,-90.35,-90.0,top
C21,1u,C_0402_1005Metric,130.17,-92.25,-90.0,top
C22,1u,C_0402_1005Metric,139.65,-51.8,0.0,top
C23,1u,C_0402_1005Metric,125.0,-89.8,180.0,top
C24,1u,C_0402_1005Metric,141.95,-51.8,0.0,top
C25,1u,C_0402_1005Metric,126.575,-92.25,-90.0,top
C26,1u,C_0402_1005Metric,125.45,-86.7,-90.0,top
C27,22u,C_0805_2012Metric,142.4606,-81.854,-90.0,top
C28,22u,C_0805_2012Metric,140.5606,-81.854,-90.0,top
C29,15p,C_0402_1005Metric,129.62,-80.75,180.0,top
C3,1u,C_0402_1005Metric,121.25,-51.8,0.0,top
C30,15p,C_0402_1005Metric,135.15,-82.75,90.0,top
C31,1u,C_0402_1005Metric,144.25,-51.8,0.0,top
C32,1u,C_0402_1005Metric,135.15,-86.0,0.0,top
C4,1u,C_0402_1005Metric,123.55,-51.8,0.0,top
C5,1u,C_0402_1005Metric,125.85,-51.8,0.0,top
C6,1u,C_0402_1005Metric,128.15,-51.8,0.0,top
C7,1u,C_0402_1005Metric,130.45,-51.8,0.0,top
C8,1u,C_0402_1005Metric,132.75,-51.8,0.0,top
C9,1u,C_0402_1005Metric,135.05,-51.8,0.0,top
D1,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,109.75,-53.5,0.0,top
D10,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,130.45,-53.5,0.0,top
D100,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,116.65,-67.3,0.0,top
D101,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,118.95,-67.3,0.0,top
D102,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,121.25,-67.3,0.0,top
D103,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,123.55,-67.3,0.0,top
D104,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,125.85,-67.3,0.0,top
D105,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,128.15,-67.3,0.0,top
D106,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,130.45,-67.3,0.0,top
D107,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,132.75,-67.3,0.0,top
D108,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,135.05,-67.3,0.0,top
D109,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,137.35,-67.3,0.0,top
D11,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,132.75,-53.5,0.0,top
D110,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,139.65,-67.3,0.0,top
D111,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,141.95,-67.3,0.0,top
D112,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,144.25,-67.3,0.0,top
D113,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,109.75,-69.6,0.0,top
D114,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,112.05,-69.6,0.0,top
D115,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,114.35,-69.6,0.0,top
D116,WS2812B,LED_WS2812B-1615_PLCC4_1.6x1.5mm,116.65,-69.6,0.0,top
